Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-07-15 00:00:00+05:30,130029.18290944697,134153.13103888958,130029.18290944697,131069.5,16952,0.0,0.0
2024-07-16 00:00:00+05:30,131656.81045569596,133284.42214354413,131207.46980567652,132986.453125,8534,0.0,0.0
2024-07-18 00:00:00+05:30,132506.6322195853,132979.68798152416,130594.3448674151,132106.96875,5679,0.0,0.0
2024-07-19 00:00:00+05:30,132056.21123202983,132056.21123202983,127313.17150914029,127935.8046875,18338,0.0,0.0
2024-07-22 00:00:00+05:30,127935.80260914749,131367.22016976587,126414.63646483811,130782.578125,19170,0.0,0.0
2024-07-23 00:00:00+05:30,130309.78144860132,133540.08812255194,126040.6476029119,131811.28125,18946,0.0,0.0
2024-07-24 00:00:00+05:30,131277.5178169765,137673.97531737134,130763.66248035638,137071.515625,22893,0.0,0.0
2024-07-25 00:00:00+05:30,134493.14543779823,139987.7027694127,134493.14543779823,137582.921875,17629,194.0,0.0
2024-07-26 00:00:00+05:30,137882.81669547426,139315.69517156086,136198.95129509608,138863.109375,13182,0.0,0.0
2024-07-29 00:00:00+05:30,138873.25389338593,140470.96740314382,138492.7737460187,139247.328125,12647,0.0,0.0
2024-07-30 00:00:00+05:30,139252.73850432513,140492.67384645756,139247.33253622561,139931.203125,7514,0.0,0.0
2024-07-31 00:00:00+05:30,139942.69807827138,142490.40889396885,139942.69807827138,142241.625,11737,0.0,0.0
2024-08-01 00:00:00+05:30,142454.0571805231,143842.39089403374,139592.70667795176,140258.828125,8618,0.0,0.0
2024-08-02 00:00:00+05:30,140257.68187732622,140642.66179051035,137993.7999982383,138353.125,6267,0.0,0.0
2024-08-05 00:00:00+05:30,136792.85769734107,137892.80026654486,135267.9373173086,136461.46875,9577,0.0,0.0
2024-08-06 00:00:00+05:30,136017.90352652068,138992.748319694,135292.94135003307,135666.21875,7917,0.0,0.0
2024-08-07 00:00:00+05:30,137492.81755296033,138666.05313965003,134199.03649082483,134598.46875,6772,0.0,0.0
2024-08-08 00:00:00+05:30,134492.97940058046,142492.56181845884,131993.10989499345,140384.21875,39876,0.0,0.0
2024-08-09 00:00:00+05:30,140384.22475887317,141242.47686943022,135392.93821782264,136904.5625,17910,0.0,0.0
2024-08-12 00:00:00+05:30,137092.85341951626,138492.78044203503,134492.98894912426,137278.34375,15138,0.0,0.0
2024-08-13 00:00:00+05:30,138292.73889310713,138492.77533292974,137012.85253514824,137480.78125,4734,0.0,0.0
2024-08-14 00:00:00+05:30,137097.84705925884,138142.74566773663,135515.77335234554,135963.359375,6578,0.0,0.0
2024-08-16 00:00:00+05:30,137242.84563746522,137671.1201868469,134615.02949847165,136080.109375,9943,0.0,0.0
2024-08-19 00:00:00+05:30,136272.89807205924,136992.11058995128,134493.4908067288,134916.71875,9128,0.0,0.0
2024-08-20 00:00:00+05:30,135592.92050541204,136211.5913287496,135043.94916796757,135865.953125,4051,0.0,0.0
2024-08-21 00:00:00+05:30,135292.9445021463,137992.80370507162,135292.9445021463,137824.15625,6885,0.0,0.0
2024-08-22 00:00:00+05:30,137430.62914799093,139890.70396720615,137430.62914799093,139607.265625,5436,0.0,0.0
2024-08-23 00:00:00+05:30,139492.71442194437,140492.66219557836,138224.12442925,138512.359375,5657,0.0,0.0
2024-08-26 00:00:00+05:30,139992.24604456464,140492.67307145585,138353.9408599279,139317.1875,9279,0.0,0.0
2024-08-27 00:00:00+05:30,139352.73683468776,139842.66442430788,138441.69056907727,138800.359375,4576,0.0,0.0
2024-08-28 00:00:00+05:30,139492.7214369361,139492.7214369361,136479.2224277036,136849.15625,6441,0.0,0.0
2024-08-29 00:00:00+05:30,136992.8657030437,137305.6931616553,133383.05369437227,134414.09375,10344,0.0,0.0
2024-08-30 00:00:00+05:30,135392.93920590228,135482.93451261226,134392.99135356917,134826.421875,10322,0.0,0.0
2024-09-02 00:00:00+05:30,135442.93454872657,136071.60487881114,133993.01018478672,134188.25,6841,0.0,0.0
2024-09-03 00:00:00+05:30,134742.98276285347,134790.98026320685,134033.01973679315,134412.0,4691,0.0,0.0
2024-09-04 00:00:00+05:30,134390.9859781672,135452.7274396457,134048.45698015392,135319.84375,4118,0.0,0.0
2024-09-05 00:00:00+05:30,136242.89410315384,136658.87240735136,135492.93321818236,136010.0,3971,0.0,0.0
2024-09-06 00:00:00+05:30,136342.89107203708,136692.87282396381,134035.46450642103,134253.75,3820,0.0,0.0
2024-09-09 00:00:00+05:30,134992.94667144818,134992.94667144818,132593.07206395577,133972.296875,6107,0.0,0.0
2024-09-10 00:00:00+05:30,134842.96928896042,136352.79681656856,134248.65652642178,135752.328125,5084,0.0,0.0
2024-09-11 00:00:00+05:30,136212.89189127722,136642.86945340649,135134.7450280966,135338.890625,5167,0.0,0.0
2024-09-12 00:00:00+05:30,135790.91481964663,136468.9731905062,135492.93036762043,135955.15625,3413,0.0,0.0
2024-09-13 00:00:00+05:30,136392.89345171515,137592.7840582047,135792.97158474923,137346.796875,4948,0.0,0.0
2024-09-16 00:00:00+05:30,137792.8190763192,138501.78212947675,136092.90766536316,136419.890625,5576,0.0,0.0
2024-09-17 00:00:00+05:30,137042.8418774654,137257.17443228973,135045.89930823876,135212.140625,2915,0.0,0.0
2024-09-18 00:00:00+05:30,135682.924531629,135682.924531629,133293.04915665227,134235.703125,4978,0.0,0.0
2024-09-19 00:00:00+05:30,134692.9765330934,136842.86442875894,134115.9597462124,136340.484375,7839,0.0,0.0
2024-09-20 00:00:00+05:30,136492.87673443602,136811.15699908315,135092.99666612383,135927.3125,13578,0.0,0.0
2024-09-23 00:00:00+05:30,136042.9055324548,137492.82992070957,136042.9055324548,137227.640625,5664,0.0,0.0
2024-09-24 00:00:00+05:30,137202.84394886548,137992.75587464563,136742.86793970814,137805.8125,5250,0.0,0.0
2024-09-25 00:00:00+05:30,137340.82878250311,139848.35410268707,137292.98753052228,139148.890625,8665,0.0,0.0
2024-09-26 00:00:00+05:30,139242.7448968316,139492.73187151173,137689.8726826764,138844.921875,8335,0.0,0.0
2024-09-27 00:00:00+05:30,138692.75933156957,142376.47326762808,138369.77619340015,140966.546875,12240,0.0,0.0
2024-09-30 00:00:00+05:30,140992.6357667351,141877.43330258064,138192.82887938007,138506.421875,6269,0.0,0.0
2024-10-01 00:00:00+05:30,139592.70650895985,140439.7560020066,138942.94358301203,140255.578125,3931,0.0,0.0
2024-10-03 00:00:00+05:30,137992.8074485132,139887.20870729006,135917.3218783314,136097.25,7483,0.0,0.0
